uni_name,foundation_year,type,city,region,year
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,11.07.1992,DEVLET,Hatay,AKDENİZ,2023
HİTİT ÜNİVERSİTESİ,17.03.2006,DEVLET,Çorum,KARADENİZ,2023
IĞDIR ÜNİVERSİTESİ,22.05.2008,DEVLET,Iğdır,DOĞU ANADOLU,2023
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,18.05.2018,DEVLET,Isparta,AKDENİZ,2023
IŞIK ÜNİVERSİTESİ,07.06.1996,VAKIF,İstanbul,MARMARA,2023
İBN HALDUN ÜNİVERSİTESİ,23.04.2015,VAKIF,İstanbul,MARMARA,2023
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,22.05.1985,VAKIF,Ankara,İÇ ANADOLU,2023
İNÖNÜ ÜNİVERSİTESİ,03.04.1975,DEVLET,Malatya,DOĞU ANADOLU,2023
İSKENDERUN TEKNİK ÜNİVERSİTESİ,23.04.2015,DEVLET,Hatay,AKDENİZ,2023
İSTANBUL AREL ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2023
İSTANBUL ATLAS ÜNİVERSİTESİ,18.05.2018,VAKIF,İstanbul,MARMARA,2023
İSTANBUL AYDIN ÜNİVERSİTESİ,18.05.2007,VAKIF,İstanbul,MARMARA,2023
İSTANBUL BEYKENT ÜNİVERSİTESİ,15.07.1997,VAKIF,İstanbul,MARMARA,2023
İSTANBUL BİLGİ ÜNİVERSİTESİ,07.06.1996,VAKIF,İstanbul,MARMARA,2023
İSTANBUL ESENYURT ÜNİVERSİTESİ,18.06.2013,VAKIF,İstanbul,MARMARA,2023
İSTANBUL GALATA ÜNİVERSİTESİ,12.06.2019,VAKIF,İstanbul,MARMARA,2023
İSTANBUL GEDİK ÜNİVERSİTESİ,03.03.2011,VAKIF,İstanbul,MARMARA,2023
İSTANBUL GELİŞİM ÜNİVERSİTESİ,03.03.2011,VAKIF,İstanbul,MARMARA,2023
