uni_code,type,name,city
1091,Devlet,SİNOP ÜNİVERSİTESİ,Sinop
1119,Devlet,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Sivas
1026,Devlet,SİVAS CUMHURİYET ÜNİVERSİTESİ,Sivas
1092,Devlet,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,Isparta
1093,Devlet,ŞIRNAK ÜNİVERSİTESİ,Şırnak
1120,Devlet,TARSUS ÜNİVERSİTESİ,Mersin
1079,Devlet,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,Tekirdağ
1043,Devlet,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,Tokat
1121,Devlet,TRABZON ÜNİVERSİTESİ,Trabzon
1094,Devlet,TRAKYA ÜNİVERSİTESİ,Edirne
1096,Devlet,TÜRK-ALMAN ÜNİVERSİTESİ,İstanbul
1098,Devlet,UŞAK ÜNİVERSİTESİ,Uşak
1102,Devlet,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,Van
1099,Devlet,YALOVA ÜNİVERSİTESİ,Yalova
1101,Devlet,YILDIZ TEKNİK ÜNİVERSİTESİ,İstanbul
1023,Devlet,YOZGAT BOZOK ÜNİVERSİTESİ,Yozgat
1103,Devlet,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Zonguldak
2001,Vakıf,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,İstanbul
2101,Vakıf,ALANYA ÜNİVERSİTESİ,Antalya
2029,Vakıf,ALTINBAŞ ÜNİVERSİTESİ,İstanbul
2095,Vakıf,ANKARA BİLİM ÜNİVERSİTESİ,Ankara
2092,Vakıf,ANKARA MEDİPOL ÜNİVERSİTESİ,Ankara
2102,Vakıf,ANTALYA BELEK ÜNİVERSİTESİ,Antalya
2064,Vakıf,ANTALYA BİLİM ÜNİVERSİTESİ,Antalya
2002,Vakıf,ATILIM ÜNİVERSİTESİ,Ankara
2003,Vakıf,AVRASYA ÜNİVERSİTESİ,Trabzon
2005,Vakıf,BAHÇEŞEHİR ÜNİVERSİTESİ,İstanbul
2006,Vakıf,BAŞKENT ÜNİVERSİTESİ,Ankara
2008,Vakıf,BEYKOZ ÜNİVERSİTESİ,İstanbul
2009,Vakıf,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,İstanbul
2076,Vakıf,BİRUNİ ÜNİVERSİTESİ,İstanbul
2010,Vakıf,ÇAĞ ÜNİVERSİTESİ,Mersin
2011,Vakıf,ÇANKAYA ÜNİVERSİTESİ,Ankara
2026,Vakıf,DEMİROĞLU BİLİM ÜNİVERSİTESİ,İstanbul
2012,Vakıf,DOĞUŞ ÜNİVERSİTESİ,İstanbul
2014,Vakıf,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İstanbul
2090,Vakıf,FENERBAHÇE ÜNİVERSİTESİ,İstanbul
2019,Vakıf,HALİÇ ÜNİVERSİTESİ,İstanbul
2016,Vakıf,HASAN KALYONCU ÜNİVERSİTESİ,Gaziantep
2020,Vakıf,IŞIK ÜNİVERSİTESİ,İstanbul
2086,Vakıf,İBN HALDUN ÜNİVERSİTESİ,İstanbul
2021,Vakıf,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,Ankara
2022,Vakıf,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,İstanbul
2023,Vakıf,İSTANBUL AREL ÜNİVERSİTESİ,İstanbul
2093,Vakıf,İSTANBUL ATLAS ÜNİVERSİTESİ,İstanbul
2024,Vakıf,İSTANBUL AYDIN ÜNİVERSİTESİ,İstanbul
2103,Vakıf,İSTANBUL BEYKENT ÜNİVERSİTESİ,İstanbul
2025,Vakıf,İSTANBUL BİLGİ ÜNİVERSİTESİ,İstanbul
2075,Vakıf,İSTANBUL ESENYURT ÜNİVERSİTESİ,İstanbul
2098,Vakıf,İSTANBUL GALATA ÜNİVERSİTESİ,İstanbul
2017,Vakıf,İSTANBUL GEDİK ÜNİVERSİTESİ,İstanbul
2027,Vakıf,İSTANBUL GELİŞİM ÜNİVERSİTESİ,İstanbul
2087,Vakıf,İSTANBUL KENT ÜNİVERSİTESİ,İstanbul
2030,Vakıf,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,İstanbul
2031,Vakıf,İSTANBUL MEDİPOL ÜNİVERSİTESİ,İstanbul
2104,Vakıf,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,İstanbul
2047,Vakıf,İSTANBUL OKAN ÜNİVERSİTESİ,İstanbul
2081,Vakıf,İSTANBUL RUMELİ ÜNİVERSİTESİ,İstanbul
2032,Vakıf,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İstanbul
2094,Vakıf,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,İstanbul
2034,Vakıf,İSTANBUL TİCARET ÜNİVERSİTESİ,İstanbul
2050,Vakıf,İSTANBUL TOPKAPI ÜNİVERSİTESİ,İstanbul
2062,Vakıf,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,İstanbul
2084,Vakıf,İSTİNYE ÜNİVERSİTESİ,İstanbul
2035,Vakıf,İZMİR EKONOMİ ÜNİVERSİTESİ,İzmir
2096,Vakıf,İZMİR TINAZTEPE ÜNİVERSİTESİ,İzmir
2037,Vakıf,KADİR HAS ÜNİVERSİTESİ,İstanbul
2038,Vakıf,KAPADOKYA ÜNİVERSİTESİ,Nevşehir
2097,Vakıf,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Kocaeli
2039,Vakıf,KOÇ ÜNİVERSİTESİ,İstanbul
2083,Vakıf,KONYA GIDA VE TARIM ÜNİVERSİTESİ,Konya
2040,Vakıf,KTO KARATAY ÜNİVERSİTESİ,Konya
2088,Vakıf,LOKMAN HEKİM ÜNİVERSİTESİ,Ankara
2041,Vakıf,MALTEPE ÜNİVERSİTESİ,İstanbul
2072,Vakıf,MEF ÜNİVERSİTESİ,İstanbul
2100,Vakıf,MUDANYA ÜNİVERSİTESİ,Bursa
2046,Vakıf,NUH NACİ YAZGAN ÜNİVERSİTESİ,Kayseri
2091,Vakıf,OSTİM TEKNİK ÜNİVERSİTESİ,Ankara
2048,Vakıf,ÖZYEĞİN ÜNİVERSİTESİ,İstanbul
2049,Vakıf,PİRİ REİS ÜNİVERSİTESİ,İstanbul
2051,Vakıf,SABANCI ÜNİVERSİTESİ,İstanbul
2077,Vakıf,SANKO ÜNİVERSİTESİ,Gaziantep
2067,Vakıf,TED ÜNİVERSİTESİ,Ankara
2054,Vakıf,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,Ankara
2055,Vakıf,TOROS ÜNİVERSİTESİ,Mersin
2057,Vakıf,TÜRK HAVA KURUMU ÜNİVERSİTESİ,Ankara
2058,Vakıf,UFUK ÜNİVERSİTESİ,Ankara
2065,Vakıf,ÜSKÜDAR ÜNİVERSİTESİ,İstanbul
2060,Vakıf,YAŞAR ÜNİVERSİTESİ,İzmir
2061,Vakıf,YEDİTEPE ÜNİVERSİTESİ,İstanbul
2079,Vakıf,YÜKSEK İHTİSAS ÜNİVERSİTESİ,Ankara
3014,KKTC,ADA KENT ÜNİVERSİTESİ,
3006,KKTC,AKDENİZ KARPAZ ÜNİVERSİTESİ,
3016,KKTC,ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ,
3017,KKTC,BAHÇEŞEHİR KIBRIS ÜNİVERSİTESİ,
3001,KKTC,DOĞU AKDENİZ ÜNİVERSİTESİ,
3002,KKTC,GİRNE AMERİKAN ÜNİVERSİTESİ,
3007,KKTC,GİRNE ÜNİVERSİTESİ,
3009,KKTC,KIBRIS AMERİKAN ÜNİVERSİTESİ,
3015,KKTC,KIBRIS BATI ÜNİVERSİTESİ,
3008,KKTC,KIBRIS İLİM ÜNİVERSİTESİ,
3012,KKTC,KIBRIS SAĞLIK VE TOPLUM BİLİMLERİ ÜNİVERSİTESİ,
3003,KKTC,LEFKE AVRUPA ÜNİVERSİTESİ,
3018,KKTC,RAUF DENKTAŞ ÜNİVERSİTESİ,
3013,KKTC,ULUSLARARASI FİNAL ÜNİVERSİTESİ,
3004,KKTC,ULUSLARARASI KIBRIS ÜNİVERSİTESİ,
3005,KKTC,YAKIN DOĞU ÜNİVERSİTESİ,
4011,Yurtdışı,AZERBAYCAN DEVLET PEDAGOJİ ÜNİVERSİTESİ,
4013,Yurtdışı,AZERBAYCAN DİLLER ÜNİVERSİTESİ,
4017,Yurtdışı,AZERBAYCAN TIP ÜNİVERSİTESİ,
4020,Yurtdışı,BAKÜ DEVLET ÜNİVERSİTESİ,
4039,Yurtdışı,HOCA AHMET YESEVİ ULUSLARARASI TÜRK-KAZAK ÜNİVERSİTESİ,
4052,Yurtdışı,KIRGIZİSTAN-TÜRKİYE MANAS ÜNİVERSİTESİ,
4096,Yurtdışı,ULUSLARARASI BALKAN ÜNİVERSİTESİ,
4088,Yurtdışı,ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ,
